heteriske_code,heteriske_name,chp_number,chp_match_name,chp_confidence,registry_status,registry_official_name,registry_entity_type,registry_biz_type,registry_status_raw,error
1156,"בראשית לוגיסטיקה בינלאומית בע""מ",513999672,"בראשית - לוגיסטיקה בינלאומית בע""מ",exact,פעילה,"בראשית -  לוגיסטיקה בינלאומית בע""מ",company,"חברה פרטית - בע""מ",פעילה,
864,"א.ב.ג. קרית יערים בע""מ",517037917,"א.ב.ג. קרית יערים בע""מ",exact,פעילה,"א.ב.ג. קרית יערים  בע""מ",company,"חברה פרטית - בע""מ",פעילה,
1088,"דלקל אחזקות 2009 בע""מ",514338250,"דלקל אחזקות 2009 בע""מ",exact,פעילה,"דלקל אחזקות 2009 בע""מ",company,"חברה פרטית - בע""מ",פעילה,
1089,"דלקל גז בע""מ",514864826,"דלקל גז בע""מ",exact,פעילה,"דלקל גז בע""מ",company,"חברה פרטית - בע""מ",פעילה,
1137,"דלקל מואס גז בע""מ",516108099,"דלקל מואס גז בע""מ",exact,פעילה,"דלקל מואס גז  בע""מ",company,"חברה פרטית - בע""מ",פעילה,
1135,"דלקל נכסים (2015) בע""מ",515138998,"דלקל נכסים (2015) בע""מ",exact,פעילה,"דלקל נכסים (2015)  בע""מ",company,"חברה פרטית - בע""מ",פעילה,
1090,"דלקלומט בע""מ",513492595,"דלקלומט בע""מ",exact,פעילה,"דלקלומט בע""מ",company,"חברה פרטית - בע""מ",פעילה,
1100,"י.א.מ.א. מרגליות פיתוח בע""מ",513522615,"י.א.מ.א. מרגליות פיתוח בע""מ",exact,פעילה,"י.א.מ.א. מרגליות פיתוח בע""מ",company,"חברה פרטית - בע""מ",פעילה,
1101,"ים הדר סוכנות לביטוח (2017) בע""מ",515702728,"ים הדר סוכנות לביטוח ( 2017 ) בע""מ",exact,פעילה,"ים הדר סוכנות לביטוח ( 2017 ) בע""מ",company,"חברה פרטית - בע""מ",פעילה,
1149,"פנחס 70 רמת גן בע""מ",515423267,"פנחס 70 רמת גן בע""מ",exact,פעילה,"פנחס 70 רמת גן בע""מ",company,"חברה פרטית - בע""מ",פעילה,
1150,"פרסונל אינווסט בע""מ",515947828,"פרסונל אינווסט בע""מ",exact,פעילה,"פרסונל אינווסט  בע""מ",company,"חברה פרטית - בע""מ",פעילה,
1151,"פרסונל אנד מור סוכנות לביטוח ותכנון פנסיוני (2018) בע""מ",515820751,"פרסונל אנד מור סוכנות לביטוח ותכנון פנסיוני (2018) בע""מ",exact,פעילה,"פרסונל אנד מור סוכנות לביטוח ותכנון פנסיוני (2018)  בע""מ",company,"חברה פרטית - בע""מ",בפרוק ע~י בימ~ש,
1152,"פרסונל יזמות מ.ל. בע""מ",516022167,"פרסונל יזמות מ.ל. בע""מ",exact,פעילה,"פרסונל יזמות מ.ל.  בע""מ",company,"חברה פרטית - בע""מ",פעילה,
1155,"תשתיות השרון מ.ל בע""מ",516038874,"תשתיות השרון מ.ל בע""מ",exact,פעילה,"תשתיות השרון מ.ל  בע""מ",company,"חברה פרטית - בע""מ",פעילה,
850,"סילבר ג.י. ניהול בע""מ",515572212,"סילבר ג.י. ניהול בע""מ",exact,לא נמצא ברשם - ח.פ. לא קיים בפועל,,,,,
848,"שרי את אלכס השקעות וניהול פרוייקטים בע""מ",513998435,"שרי את אלכס השקעות וניהול פרוייקטים בע""מ",exact,לא נמצא ברשם - ח.פ. לא קיים בפועל,,,,,
862,"אורנשטיין ניהול וביצוע פרוייקטים בע""מ",514637354,"אורנשטיין - ניהול וביצוע פרוייקטים בע""מ",exact,לא נמצא ברשם - ח.פ. לא קיים בפועל,,,,,
859,"ארד בע""מ",510007800,ארד בעמ,exact,פעילה,ארד בעמ,company,"חברה ציבורית - בע""מ",פעילה,
1081,"ג.מ.נ. שיווק לבניה בע""מ",514693761,"ג.מ.נ. שיווק לבניה בע""מ",exact,פעילה,"ג.מ.נ. שיווק לבניה בע""מ",company,"חברה פרטית - בע""מ",פעילה,
