code,category,name,status,location,permit_link,chp_number,chp_match_name,chp_match_kind,chp_confidence,chp_verified,chp_verify_returned_code
1067,"נדל""ן","אפי קפיטל בע""מ",היתר עסקה בתוקף,,https://drive.google.com/file/d/1TRZHCZ_6h7U7OQhk1D2qPhXAJB0_UfWm/view?usp=drive_link,515116820,"אפי קפיטל בע""מ",company,exact,True,1067
1068,"נדל""ן","אפי קפיטל בעיר היין בע""מ",היתר עסקה בתוקף,,https://drive.google.com/file/d/1SSNuhQfBN2ZvjyX4yFWVrYKJ3Nw5ZvPf/view?usp=drive_link,515695633,"אפי קפיטל בעיר היין בע""מ",company,exact,True,1068
1069,"נדל""ן","אפי קפיטל בראל ביצוע בע""מ",היתר עסקה בתוקף,,https://drive.google.com/file/d/1DDJ4Doyx7Pg34aOC_7VJO_-et0P9XzrK/view?usp=drive_link,,,,,,
1070,"נדל""ן","אפי קפיטל בראל למשתכן בע""מ",היתר עסקה בתוקף,,https://drive.google.com/file/d/1LxcQf8cwxLof52wftMpqzm5xTZXjZ38y/view?usp=drive_link,,,,,,
1071,"נדל""ן","אפי קפיטל מגורים בע""מ",היתר עסקה בתוקף,,https://drive.google.com/file/d/1mms0gdMw89zYycRdBDB75UKly9BKzV7T/view?usp=sharing,515836369,"אפי קפיטל מגורים בע""מ",company,exact,True,1071
1072,"נדל""ן","אפי קפיטל מתחמים בע""מ",היתר עסקה בתוקף,,https://drive.google.com/file/d/1EemBhINC8Z9Snew5URfJmFI2WbAg-JG8/view?usp=drive_link,515851673,"אפי קפיטל מתחמים בע""מ",company,exact,True,1072
1073,"נדל""ן","אפי קפיטל עמרם אברהם בע""מ",היתר עסקה בתוקף,,https://drive.google.com/file/d/1WlMXHggmaB7oePNevhlBqDD7A6FDmawl/view?usp=drive_link,515529493,"אפי קפיטל עמרם אברהם בע""מ",company,exact,True,1073
1074,"נדל""ן","אפי קפיטל עמרם אברהם קריית גת בע""מ",היתר עסקה בתוקף,,https://drive.google.com/file/d/1x7nQxt0chyfk4n_DLlgcnC1xQP5ghC5P/view?usp=drive_link,515924926,"אפי קפיטל עמרם אברהם קריית גת בע""מ",company,exact,True,1074
1075,"נדל""ן","אפי קפיטל פרוייקטים בע""מ",היתר עסקה בתוקף,,https://drive.google.com/file/d/1eskl2Yc6NmcCfxye5-F7EmVoCSrMnWRu/view?usp=drive_link,515837276,"אפי קפיטל פרוייקטים בע""מ",company,exact,True,1075
1077,סטראפ,"ב.ו.ב מדף 24 בע""מ",היתר עסקה בתוקף,,https://drive.google.com/file/d/1IKhrZL7gnHhOu6DRygurXEkZV0Kb0pa2/view?usp=drive_link,,,,,,
1079,שונות,"בלו-אי טכנולוגיות מים בע""מ",היתר עסקה בתוקף,,https://drive.google.com/file/d/1R3VZdgWan2FLGRoXzPVEJLWpH6aoW2m-/view?usp=drive_link,513484675,"בלו-אי טכנולוגיות מים בע""מ",company,exact,True,1079
1080,"נדל""ן","בראל אפי קפיטל בע""מ",היתר עסקה בתוקף,,https://heteriske.com/wp-content/uploads/custom_uploads/2026/08/בראל-אפי-קפיטל-בע_מ.pdf,515851731,"בראל אפי קפיטל בע""מ",company,exact,True,1080
1162,מפעלי אוכל וצרכניות,פירות הכיכר,היתר עסקה בתוקף,,https://heteriske.com/wp-content/uploads/custom_uploads/2026/08/פירות-הכיכר.pdf,,,,,,
1145,עמותה,"יאדיר תורה בנגב בע""מ",היתר עסקה בתוקף,,https://heteriske.com/wp-content/uploads/custom_uploads/2026/08/יאדיר-תורה-בנגב-בע_מ.pdf,514062827,"יאדיר תורה בנגב בע""מ (חל""ץ)",company,fuzzy,True,1145
853,אשראי,"כספא סליקה כשרה בע""מ",היתר עסקה בתוקף,ישראל,https://heteriske.com/wp-content/uploads/custom_uploads/2026/08/כספא-סליקה-כשרה-בע_מ.pdf,517066940,"כספא סליקה כשרה בע""מ",company,exact,True,853
1139,עמותה,"משכן התורה נתיבות (ע""ר)",היתר עסקה בתוקף,,https://heteriske.com/wp-content/uploads/custom_uploads/2026/08/משכן-התורה-נתיבות-ע_ר.pdf,580400323,"משכן התורה נתיבות (ע""ר)",association,exact,True,1139
1143,עמותה,"נטעי ראובן (ע""ר)",היתר עסקה בתוקף,,https://heteriske.com/wp-content/uploads/custom_uploads/2026/08/נטעי-ראובן-ע_ר.pdf,580356947,"נטעי ראובן (ע""ר)",association,exact,True,1143
1144,עמותה,"נתיבות ראובן יוסף (ע""ר)",היתר עסקה בתוקף,,https://drive.google.com/file/d/1-6xk_6ZDbd31rOkyNEtWcSRDxITexuC-/view?usp=sharing,580077865,"נתיבות ראובן יוסף (ע""ר)",association,exact,True,1144
1142,ביגוד,קהלני שלום,היתר עסקה בתוקף,,https://heteriske.com/wp-content/uploads/custom_uploads/2026/08/קהלני-שלום.pdf,,,,,,
1106,השקעות,מגדלור קרן השקעות בעסקים שותפות מוגבלת,היתר עסקה בתוקף,,https://drive.google.com/file/d/1_R4XjqM7fdQOsZygdmfwnJYGJKnvyvd8/view?usp=drive_link,,,,,,
1107,השקעות,"מגדלור קרן השקעות שירותי ניהול בע""מ",היתר עסקה בתוקף,,https://drive.google.com/file/d/18G3HcBUuqJcKsHBftjYcxvauYmOLjoX3/view?usp=drive_link,516284387,"מגדלור קרן השקעות 2 - שירותי ניהול בע""מ",company,fuzzy,False,
1103,"נדל""ן","ישראל שאולי תכנון ובנייה בע""מ",היתר עסקה בתוקף,,https://drive.google.com/file/d/1ohnUp1hR3aiywlWBnq35e_XqD3SSOQVC/view?usp=drive_link,,,,,,
1053,הלוואות והשקעות,"א.י קרן גשרים אשראי בע""מ",היתר עסקה בתוקף,,https://heteriske.com/wp-content/uploads/custom_uploads/2026/08/א.י-קרן-גשרים-אשראי-בע_מ-1.pdf,512848110,"א.י קרן גשרים אשראי בע""מ",company,exact,True,1053
1084,לימודים,גשרים 2 - שותפות השקעה שותפות מוגבלת,היתר עסקה בתוקף,,https://heteriske.com/wp-content/uploads/custom_uploads/2026/08/גשרים-2-שותפות-השקעה-שותפות-מוגבלת.pdf,,,,,,
1085,לימודים,גשרים 2 שותפות אשראי שותפות מוגבלת,היתר עסקה בתוקף,,https://heteriske.com/wp-content/uploads/custom_uploads/2026/08/גשרים-2-שותפות-אשראי-שותפות-מוגבלת.pdf,,,,,,
